"ID","Control","Objective"
"SRV-01","Server build standard","Build servers from approved hardened templates."
"SRV-02","OS hardening baseline","Apply server security baseline settings."
"SRV-03","Admin access restriction","Limit server access to authorized administrators."
"SRV-04","Service account control","Use least privilege for service accounts."
"SRV-05","Server patch compliance","Patch servers within defined timelines."
"SRV-06","Server logging enablement","Enable security and system logs."
"SRV-07","Remote access restriction","Restrict RDP/SSH and administrative interfaces."
"SRV-08","IIS/application hardening","Secure web/application server roles."
"SRV-09","Server role minimization","Install only required server roles and features."
"SRV-10","Server monitoring and alerting","Monitor availability, performance, and security events."
