"ID","Control","Objective"
"AUTH-01","Multi-factor authentication","Require MFA for users and administrators."
"AUTH-02","Strong password standard","Enforce password complexity and length requirements."
"AUTH-03","Password reuse restriction","Prevent reuse of recent passwords."
"AUTH-04","Conditional access enforcement","Apply context-based access controls."
"AUTH-05","Legacy authentication block","Disable legacy protocols that bypass MFA."
"AUTH-06","Session timeout control","End idle sessions after a defined interval."
"AUTH-07","Account lockout threshold","Lock accounts after repeated failed attempts."
"AUTH-08","Authentication event logging","Log logons, failures, and MFA events."
"AUTH-09","Federated authentication control","Secure trust relationships with identity providers."
"AUTH-10","Device-based authentication trust","Restrict access based on compliant or trusted devices."
