"ID","Control","Objective"
"PAT-01","Patch policy and schedule","Define patch cadence by severity and system type."
"PAT-02","Testing before deployment","Test patches in staging before broad rollout."
"PAT-03","Emergency patch process","Fast-track critical security fixes."
"PAT-04","Patch compliance tracking","Measure patch status by asset group."
"PAT-05","Unsupported software management","Identify and retire unsupported products."
"PAT-06","Rollback planning","Prepare rollback steps for failed updates."
"PAT-07","Maintenance window governance","Deploy changes in approved windows."
"PAT-08","Reboot enforcement","Ensure required restarts occur after patching."
"PAT-09","Third-party software patching","Patch browsers, runtimes, and non-OS apps."
"PAT-10","Patch failure remediation","Investigate and resolve failed patch installs."
