"ID","Control","Objective"
"DPK-01","Data classification","Classify data by sensitivity and handling needs."
"DPK-02","Data access restriction","Limit data access to authorized users."
"DPK-03","Data loss prevention","Prevent unauthorized data exfiltration."
"DPK-04","Sensitive data discovery","Identify sensitive data stores and flows."
"DPK-05","Data retention and disposal","Keep data only as long as required."
"DPK-06","Data masking or redaction","Mask sensitive data where appropriate."
"DPK-07","Secure file sharing","Control internal and external sharing."
"DPK-08","Privacy review","Review processing of personal data."
"DPK-09","Data owner assignment","Assign ownership for sensitive datasets."
"DPK-10","Data backup protection","Protect backups that contain sensitive data."
