"ID","Control","Objective"
"CMP-01","Regulatory obligation register","Maintain applicable compliance requirements."
"CMP-02","Audit evidence management","Collect and store evidence centrally."
"CMP-03","Control testing schedule","Test controls on a recurring basis."
"CMP-04","Internal audit support","Support internal audits and remediation."
"CMP-05","External audit coordination","Manage evidence requests and responses."
"CMP-06","Policy attestation","Obtain formal attestation where required."
"CMP-07","Finding remediation tracking","Track audit findings to closure."
"CMP-08","Compliance exception review","Review and approve exceptions formally."
"CMP-09","Certification maintenance","Maintain certifications and assessment readiness."
"CMP-10","Record retention control","Retain records per legal and policy requirements."
