"ID","Control","Objective"
"BCP-01","Backup policy","Define backup scope, frequency, and retention."
"BCP-02","Backup encryption","Encrypt backups at rest and in transit."
"BCP-03","Backup immutability","Protect backups from deletion or tampering."
"BCP-04","Restore testing","Test restoration on a recurring schedule."
"BCP-05","Critical system coverage","Include important systems and data in backups."
"BCP-06","Offsite backup storage","Keep copies separate from production."
"BCP-07","Recovery point objective","Define acceptable data loss thresholds."
"BCP-08","Recovery time objective","Define acceptable downtime thresholds."
"BCP-09","Backup job monitoring","Alert on failed or incomplete backups."
"BCP-10","Disaster recovery validation","Test DR plans for critical services."
