"ID","Control","Objective"
"END-01","Endpoint protection deployment","Install and maintain endpoint protection on all endpoints."
"END-02","EDR monitoring","Detect and respond to malicious endpoint activity."
"END-03","Host firewall enforcement","Require host-based firewall enabled."
"END-04","Disk encryption","Encrypt portable and fixed endpoints."
"END-05","Local admin restriction","Minimize local administrator usage."
"END-06","USB/device control","Restrict removable media where required."
"END-07","Application allowlisting","Control approved applications."
"END-08","Endpoint hardening baseline","Apply standard security configurations."
"END-09","Endpoint patch compliance","Keep endpoint operating systems and apps patched."
"END-10","Endpoint isolation capability","Support rapid containment of compromised endpoints."
