"ID","Control","Objective"
"IR-01","Incident response plan","Maintain a documented response process."
"IR-02","Incident classification","Categorize incidents by severity and type."
"IR-03","Response team roles","Assign roles for containment, analysis, and communications."
"IR-04","Escalation procedures","Escalate major incidents quickly."
"IR-05","Evidence preservation","Preserve forensic evidence properly."
"IR-06","Tabletop exercises","Test incident response readiness."
"IR-07","Breach notification workflow","Define legal and stakeholder notification steps."
"IR-08","Root cause analysis","Determine cause and preventive actions."
"IR-09","Lessons learned review","Capture improvements after incidents."
"IR-10","Incident tracking and closure","Record response actions and formal closure."
