"ID","Control","Objective"
"VRM-01","Vendor due diligence","Assess vendors before onboarding."
"VRM-02","Contract security clauses","Include security obligations in contracts."
"VRM-03","Vendor access restriction","Limit vendor access to required scope."
"VRM-04","Vendor review cycle","Reassess vendors periodically."
"VRM-05","Data processing review","Understand what data vendors store or process."
"VRM-06","Security questionnaire management","Track questionnaire completion and gaps."
"VRM-07","Incident notification requirement","Require timely vendor breach reporting."
"VRM-08","Subprocessor oversight","Assess vendor subcontractors where relevant."
"VRM-09","Offboarding of vendors","Remove vendor access and recover assets."
"VRM-10","Third-party risk acceptance","Approve residual third-party risk formally."
