"ID","Control","Objective"
"RSK-01","Enterprise risk register","Maintain a centralized inventory of security risks."
"RSK-02","Risk assessment methodology","Use a standard method to evaluate likelihood and impact."
"RSK-03","Risk acceptance approval","Require formal approval for accepted risks."
"RSK-04","Risk treatment tracking","Track remediation, transfer, avoidance, or acceptance."
"RSK-05","Periodic risk review","Reassess risks on a defined schedule or after major change."
"RSK-06","Third-party risk review","Assess vendor security posture before onboarding and renewal."
"RSK-07","Threat-informed risk evaluation","Incorporate current threats into risk decisions."
"RSK-08","Control gap analysis","Identify missing controls against a baseline or framework."
"RSK-09","Residual risk reporting","Report remaining risk after mitigation actions."
"RSK-10","Risk escalation process","Escalate high-risk items to leadership in a timely manner."
