"ID","Control","Objective"
"ASM-01","Hardware inventory","Maintain a complete inventory of hardware assets."
"ASM-02","Software inventory","Maintain a complete inventory of approved software."
"ASM-03","Cloud asset inventory","Track cloud resources, subscriptions, and services."
"ASM-04","Asset ownership assignment","Assign a business owner for each asset."
"ASM-05","Asset classification","Classify assets by business criticality and sensitivity."
"ASM-06","Asset lifecycle management","Track assets from request to retirement."
"ASM-07","Unauthorized asset detection","Identify and remediate rogue or unapproved assets."
"ASM-08","Asset tagging standard","Apply consistent tags for ownership, environment, and criticality."
"ASM-09","Inventory reconciliation","Reconcile inventory against discovery tools and records."
"ASM-10","Asset disposal control","Securely sanitize or dispose of assets at end of life."
