"ID","Control","Objective"
"GOV-01","Security governance charter","Define security oversight, responsibilities, and decision rights."
"GOV-02","Security policy framework","Maintain approved security policies, standards, and procedures."
"GOV-03","Security roles and responsibilities","Assign accountability for control ownership and execution."
"GOV-04","Control exception management","Track, approve, and review exceptions to security controls."
"GOV-05","Security committee review","Review risk, incidents, and security metrics on a recurring basis."
"GOV-06","Security KPI/KRI reporting","Measure and report control effectiveness and risk trends."
"GOV-07","Control lifecycle management","Review, update, and retire controls as business and technology change."
"GOV-08","Security awareness governance","Define awareness program scope, frequency, and accountability."
"GOV-09","Security budget and resourcing","Ensure security controls are funded and staffed."
"GOV-10","Security documentation management","Keep security documents version-controlled and current."
