"ID","Control","Objective"
"NET-01","Network segmentation","Separate user, server, and sensitive zones."
"NET-02","Firewall rule management","Approve and review network rules."
"NET-03","VPN security control","Protect remote access with secure VPN standards."
"NET-04","Secure DNS configuration","Reduce DNS abuse and tampering risk."
"NET-05","IDS/IPS monitoring","Detect malicious network activity."
"NET-06","Network device hardening","Secure routers, switches, and firewalls."
"NET-07","Administrative access restriction","Limit management access to network devices."
"NET-08","Wireless security control","Secure wireless networks and authentication."
"NET-09","East-west traffic monitoring","Monitor internal lateral movement risk."
"NET-10","Network configuration backup","Back up and protect network device configs."
