"Control ID,Domain,Control Name,Control Description,Control Owner,Frequency,Evidence,Test Steps,Risk Addressed"
"GOV-01,Governance,Security governance charter,""Define security oversight, responsibilities, and decision rights."",CISO/Head of Security,Annual,Approved governance charter,Verify charter exists, is approved, and references decision-making authority.,Lack of security accountability"
"GOV-02,Governance,Security policy framework,""Maintain approved security policies, standards, and procedures."",Security Governance,Annual/On Change,Policy register and approved policy documents,Check policy inventory, approvals, and review dates.,Inconsistent security practices"
"GOV-03,Governance,Security roles and responsibilities,""Assign accountability for control ownership and execution."",Security Governance,Annual,Role matrix or RACI,Sample key controls and verify named owners are assigned.,Gaps in ownership"
"GOV-04,Governance,Control exception management,""Track, approve, and review exceptions to security controls."",Risk/Compliance,Continuous,Exception log and approvals,Verify exceptions are time-bound, approved, and reviewed.,Uncontrolled control bypass"
"GOV-05,Governance,Security committee review,""Review risk, incidents, and security metrics on a recurring basis."",Security Steering Committee,Monthly,Meeting minutes and action tracker,Confirm meetings occur and actions are tracked to closure.,Lack of leadership oversight"
"GOV-06,Governance,Security KPI/KRI reporting,""Measure and report control effectiveness and risk trends."",Security Governance,Monthly,Security dashboard or metrics pack,Validate metrics are produced, reviewed, and acted upon.,Unknown control weakness trends"
"GOV-07,Governance,Control lifecycle management,""Review, update, and retire controls as business and technology change."",Security Governance,Annual,Control review records,Check that controls are periodically reviewed and updated.,Outdated controls"
"GOV-08,Governance,Security awareness governance,""Define awareness program scope, frequency, and accountability."",Security Awareness Lead,Annual,Awareness program plan,Verify program exists and is approved.,User susceptibility to threats"
"GOV-09,Governance,Security budget and resourcing,""Ensure security controls are funded and staffed."",Security Leadership,Annual,Approved budget and staffing plan,Confirm budget/resources align to security needs.,Under-resourced security program"
"GOV-10,Governance,Security documentation management,""Keep security documents version-controlled and current."",Security Governance,Continuous,Document repository and version history,Sample documents for versioning and review dates.,Use of stale guidance"
"RSK-01,Risk Management,Enterprise risk register,""Maintain a centralized inventory of security risks."",Risk Management,Continuous,Risk register,Verify risks are recorded with owners, ratings, and dates.,Untracked enterprise risks"
"RSK-02,Risk Management,Risk assessment methodology,""Use a standard method to evaluate likelihood and impact."",Risk Management,Annual,Approved methodology document,Check the assessment method is documented and consistently used.,Inconsistent risk decisions"
"RSK-03,Risk Management,Risk acceptance approval,""Require formal approval for accepted risks."",Risk Owner/Senior Management,Per Risk,Accepted risk records,Confirm sign-off exists and expiration/review dates are defined.,Informal risk acceptance"
"RSK-04,Risk Management,Risk treatment tracking,""Track remediation, transfer, avoidance, or acceptance."",Risk Management,Continuous,Treatment plan tracker,Review open risks and confirm action plans are in place.,Stagnant risk remediation"
"RSK-05,Risk Management,Periodic risk review,""Reassess risks on a defined schedule or after major change."",Risk Management,Quarterly,Risk review minutes,Verify reviews occur and changes are reflected.,Outdated risk posture"
"RSK-06,Risk Management,Third-party risk review,""Assess vendor security posture before onboarding and renewal."",Vendor Risk/Procurement,Per Vendor Onboarding/Annual,Vendor assessment results,Check completed assessments and remediation follow-up.,Vendor-related security exposure"
"RSK-07,Risk Management,Threat-informed risk evaluation,""Incorporate current threats into risk decisions."",Risk Management,Quarterly,Threat intel or risk review notes,Confirm recent threats influence risk prioritization.,Ignoring active threats"
"RSK-08,Risk Management,Control gap analysis,""Identify missing controls against a baseline or framework."",Security Governance,Annual,Gap assessment report,Verify gaps are documented with remediation plans.,Unknown control deficiencies"
"RSK-09,Risk Management,Residual risk reporting,""Report remaining risk after mitigation actions."",Risk Management,Quarterly,Risk reporting pack,Ensure residual risk is visible to leadership.,Hidden unacceptable risk"
"RSK-10,Risk Management,Risk escalation process,""Escalate high-risk items to leadership in a timely manner."",Risk Management,Continuous,Escalation workflow,Test whether high risks are escalated within defined timelines.,Delayed decision-making"
"ASM-01,Asset Management,Hardware inventory,""Maintain a complete inventory of hardware assets."",IT Asset Management,Continuous,Asset inventory report,Reconcile discovered hardware against inventory.,Unknown assets"
"ASM-02,Asset Management,Software inventory,""Maintain a complete inventory of approved software."",IT Asset Management,Continuous,Software inventory report,Compare installed software to approved list.,Unauthorized software use"
"ASM-03,Asset Management,Cloud asset inventory,""Track cloud resources, subscriptions, and services."",Cloud Operations,Continuous,Cloud inventory/export,Validate inventory includes active resources and owners.,Untracked cloud exposure"
"ASM-04,Asset Management,Asset ownership assignment,""Assign a business owner for each asset."",IT Asset Management,Continuous,Asset register,Sample assets and verify owner is assigned.,No accountability for assets"
"ASM-05,Asset Management,Asset classification,""Classify assets by business criticality and sensitivity."",Data/Asset Owners,Annual,Classification labels or records,Check classification is present and current.,Inappropriate protection levels"
"ASM-06,Asset Management,Asset lifecycle management,""Track assets from request to retirement."",IT Asset Management,Continuous,Lifecycle records,Sample assets across lifecycle stages and verify records.,Lost or orphaned assets"
"ASM-07,Asset Management,Unauthorized asset detection,""Identify and remediate rogue or unapproved assets."",Security Operations,Continuous,Discovery alerts and remediation log,Confirm rogue assets are investigated and removed.,Unknown unmanaged systems"
"ASM-08,Asset Management,Asset tagging standard,""Apply consistent tags for ownership, environment, and criticality."",Cloud/IT Operations,Continuous,Tag compliance reports,Sample assets to confirm required tags are applied.,Poor traceability"
"ASM-09,Asset Management,Inventory reconciliation,""Reconcile inventory against discovery tools and records."",IT Asset Management,Monthly,Reconciliation evidence,Validate mismatches are investigated and corrected.,Incomplete inventory accuracy"
"ASM-10,Asset Management,Asset disposal control,""Securely sanitize or dispose of assets at end of life."",IT Operations,Per Disposal Event,Disposal certificates,Verify sanitization or destruction evidence exists.,Data leakage from retired assets"
"IAM-01,Identity & Access,Unique user identities,""Ensure every user has a unique account for accountability."",IAM/Directory Services,Continuous,Directory user list,Sample users and confirm each has a unique account.,Weak accountability"
"IAM-02,Identity & Access,Account provisioning workflow,""Provision accounts through approved onboarding."",IAM/HR/IT Service Desk,Per Request,Provisioning tickets and approvals,Verify accounts are created only after approval and role validation.,Unauthorized access creation"
"IAM-03,Identity & Access,Account deprovisioning workflow,""Disable access promptly on termination or transfer."",IAM/HR/IT Service Desk,Per Termination/Transfer,Offboarding tickets,Check timing between HR event and account disablement.,Lingering access after exit"
"IAM-04,Identity & Access,Access request approval,""Require approval before granting access."",Business Owner/IAM,Per Request,Access request records,Sample requests and confirm approval before enablement.,Excessive access"
"IAM-05,Identity & Access,Periodic access review,""Recertify access to systems and data on a schedule."",Business Owner/App Owner,Quarterly/Semiannual,Access review evidence,Verify reviews were completed and removals tracked.,Orphaned or excessive access"
"IAM-06,Identity & Access,Role-based access control,""Grant access based on business role and need."",IAM/Business Owner,Continuous,RBAC model or role matrix,Compare access assignments to role definitions.,Privilege creep"
"IAM-07,Identity & Access,Separation of duties,""Prevent conflicting access combinations."",Compliance/Security,Continuous,SoD matrix,Check for prohibited access combinations in samples.,Fraud or unauthorized changes"
"IAM-08,Identity & Access,External user governance,""Control guest, contractor, and vendor access."",IAM/Business Owner,Quarterly,Guest user review,Verify external users are approved and reviewed.,Unmanaged third-party access"
"IAM-09,Identity & Access,Account inactivity lockout,""Disable unused accounts after a defined period."",IAM/Directory Services,Continuous,Directory policy settings,Validate inactivity thresholds and sample disabled accounts.,Stale account compromise"
"IAM-10,Identity & Access,Shared account restriction,""Prohibit shared accounts unless formally approved."",IAM/Security,Continuous,Exception records,Check shared accounts are approved, controlled, and logged.,Loss of accountability"
"IAM-11,Identity & Access,Joiner-mover-leaver process,""Manage identity changes through HR or IT workflow."",HR/IAM/IT Service Desk,Continuous,HR and IT workflow tickets,Sample joiner/mover/leaver cases and validate timely updates.,Incorrect or delayed access changes"
"IAM-12,Identity & Access,Directory synchronization control,""Govern identity sync between local and cloud directories."",IAM/Directory Services,Continuous,Sync configuration and logs,Confirm sync scope and error handling are monitored.,Identity mismatch across platforms"
"IAM-13,Identity & Access,Access recertification for privileged users,""Review elevated access more frequently."",IAM/Security,Quarterly,Privileged access review records,Verify privileged accounts were independently reviewed.,Unchecked elevated access"
"IAM-14,Identity & Access,Service account ownership,""Assign and review business owners for service accounts."",Application Owner/IAM,Annual,Service account inventory,Confirm each service account has an owner and purpose.,Orphaned service accounts"
"IAM-15,Identity & Access,Identity lifecycle logging,""Log provisioning, changes, and removals for accountability."",IAM/Directory Services,Continuous,Audit logs and tickets,Check identity events are logged and retained.,Lack of traceability"
"AUTH-01,Authentication,Multi-factor authentication,""Require MFA for users and administrators."",IAM/Security,Continuous,MFA policy and conditional access logs,Sample users and verify MFA enforced for target groups.,Password-based compromise"
"AUTH-02,Authentication,Strong password standard,""Enforce password complexity and length requirements."",IAM/Directory Services,Continuous,Password policy settings,Validate minimum length and complexity settings.,Weak credentials"
"AUTH-03,Authentication,Password reuse restriction,""Prevent reuse of recent passwords."",IAM/Directory Services,Continuous,Password history settings,Confirm password history is enabled and configured.,Credential recycling"
"AUTH-04,Authentication,Conditional access enforcement,""Apply context-based access controls."",IAM/Security,Continuous,Conditional access policies,Check policies for device, location, and risk conditions.,Untrusted access"
"AUTH-05,Authentication,Legacy authentication block,""Disable legacy protocols that bypass MFA."",IAM/Security,Continuous,Protocol settings and sign-in logs,Confirm legacy auth is blocked and no active usage remains.,MFA bypass risk"
"AUTH-06,Authentication,Session timeout control,""End idle sessions after a defined interval."",IAM/Security,Continuous,Session settings,Validate session timeout settings in target apps.,Unauthorized session hijack"
"AUTH-07,Authentication,Account lockout threshold,""Lock accounts after repeated failed attempts."",IAM/Directory Services,Continuous,Lockout policy settings,Test policy and verify alerting for repeated failures.,Brute-force attacks"
"AUTH-08,Authentication,Authentication event logging,""Log logons, failures, and MFA events."",SOC/IAM,Continuous,Authentication logs,Check logs are enabled and sent to SIEM.,Undetected login abuse"
"AUTH-09,Authentication,Federated authentication control,""Secure trust relationships with identity providers."",IAM/Security,Annual,Trust configuration and certificates,Review federation settings and trust validity.,IdP trust abuse"
"AUTH-10,Authentication,Device-based authentication trust,""Restrict access based on compliant or trusted devices."",IAM/Endpoint Security,Continuous,Conditional access device compliance policy,Confirm only compliant devices can access sensitive resources.,Access from unmanaged devices"
"PAM-01,Privileged Access,Separate admin accounts,""Use dedicated admin identities."",IAM/Security,Continuous,Admin account inventory,Sample admins and confirm separate privileged accounts exist.,Credential escalation from user accounts"
"PAM-02,Privileged Access,Just-in-time privilege,""Grant elevation only when needed."",PAM/IAM,Continuous,PAM logs and role assignments,Verify privileges expire after approved elevation window.,Standing admin exposure"
"PAM-03,Privileged Access,Privileged access review,""Review privileged memberships regularly."",IAM/Security,Monthly/Quarterly,Privileged group review evidence,Sample groups and confirm owners reviewed membership.,Excess privileged users"
"PAM-04,Privileged Access,Privileged session logging,""Record administrative activity where feasible."",SOC/Server Ops,Continuous,Session logs or recording reports,Confirm admin sessions are captured for critical systems.,Undetected misuse"
"PAM-05,Privileged Access,Break-glass account control,""Secure emergency accounts with strong safeguards."",IAM/Security,Quarterly,Break-glass account checks,Verify accounts are protected, monitored, and tested.,Emergency access abuse"
"PAM-06,Privileged Access,Privileged workstation use,""Administer sensitive systems from hardened devices."",Endpoint/Security,Continuous,PAW/SAW compliance records,Verify admin access comes from approved workstations.,Credential theft from admin endpoints"
"PAM-07,Privileged Access,Privileged command approval,""Restrict high-risk administrative actions."",Change/PAM/Security,Per Action,Approval records or PAM controls,Check selected high-risk actions require approval.,Unauthorized sensitive changes"
"PAM-08,Privileged Access,Privileged credential vaulting,""Store admin credentials in a protected vault."",IAM/Security,Continuous,Secret vault logs,Confirm privileged secrets are vaulted and access is logged.,Credential leakage"
"PAM-09,Privileged Access,Admin group monitoring,""Alert on changes to privileged groups."",SOC/IAM,Continuous,SIEM alerts and membership logs,Test alerting for group membership changes.,Silent privilege escalation"
"PAM-10,Privileged Access,Temporary elevation expiration,""Ensure elevation expires automatically."",PAM/IAM,Continuous,PAM duration settings and logs,Sample elevated sessions and verify expiration occurred.,Persistent elevated access"
"Control ID,Domain,Control Name,Control Description,Control Owner,Frequency,Evidence,Test Steps,Risk Addressed"
"END-01,Endpoint Security,Endpoint protection deployment,""Install and maintain endpoint protection on all endpoints."",Endpoint/Security Operations,Continuous,EDR/AV deployment report,Verify endpoints are enrolled and protected.,Malware infection"
"END-02,Endpoint Security,EDR monitoring,""Detect and respond to malicious endpoint activity."",SOC/Endpoint Security,Continuous,EDR alert logs,Check alerts are generated, reviewed, and investigated.,Undetected endpoint compromise"
"END-03,Endpoint Security,Host firewall enforcement,""Require host-based firewall enabled."",Endpoint/IT Operations,Continuous,Firewall compliance report,Sample endpoints and confirm firewall is enabled.,Lateral movement"
