"ID","Control","Objective"
"LOG-01","Centralized log collection","Send logs to a central platform."
"LOG-02","Log retention standard","Retain logs according to policy and regulation."
"LOG-03","Security alert triage","Review and respond to alerts promptly."
"LOG-04","Time synchronization","Ensure consistent timestamps across systems."
"LOG-05","Critical event monitoring","Alert on high-value events and anomalies."
"LOG-06","Log integrity protection","Protect logs from unauthorized change."
"LOG-07","Monitoring coverage review","Verify critical systems are monitored."
"LOG-08","Use case tuning","Tune alerts to reduce noise and misses."
"LOG-09","SIEM correlation rules","Detect multi-event attack patterns."
"LOG-10","Monitoring exception tracking","Track systems not sending logs or alerts."
