"ID","Control","Objective"
"CHG-01","Change request tracking","Log all production changes."
"CHG-02","Change approval workflow","Obtain authorization before implementation."
"CHG-03","Impact assessment","Evaluate technical and business impact."
"CHG-04","Emergency change process","Handle urgent changes with later review."
"CHG-05","Change testing requirement","Test changes before production release."
"CHG-06","Backout plan","Define rollback steps for failed changes."
"CHG-07","Change communication","Notify stakeholders about planned changes."
"CHG-08","Post-change validation","Verify service health after change."
"CHG-09","Change calendar management","Coordinate change windows to reduce conflict."
"CHG-10","Change failure review","Analyze failed changes for lessons learned."
