"ID","Control","Objective"
"CFG-01","Secure baseline standards","Maintain approved secure configurations."
"CFG-02","Configuration drift monitoring","Detect unauthorized configuration changes."
"CFG-03","Default account removal","Disable or secure default accounts."
"CFG-04","Unused service disablement","Remove unnecessary services and ports."
"CFG-05","Configuration approval process","Approve baseline deviations before change."
"CFG-06","Template-based deployment","Use hardened templates for consistency."
"CFG-07","Benchmark alignment","Align settings to recognized benchmarks."
"CFG-08","Registry and policy control","Manage settings centrally where possible."
"CFG-09","Hardened browser and client config","Secure end-user application settings."
"CFG-10","Baseline exception review","Review exceptions to hardened settings."
