"ID","Control","Objective"
"ENC-01","Data-at-rest encryption","Encrypt sensitive data at rest."
"ENC-02","Data-in-transit encryption","Use TLS or equivalent for transmission."
"ENC-03","Key management standard","Protect and govern cryptographic keys."
"ENC-04","Certificate lifecycle management","Track issuance, renewal, and expiration."
"ENC-05","Secret storage control","Store secrets in approved vaults."
"ENC-06","Encryption algorithm standard","Use approved modern cryptographic algorithms."
"ENC-07","Key rotation","Rotate keys and secrets periodically."
"ENC-08","Certificate trust validation","Validate trusted roots and server certificates."
"ENC-09","Backup encryption","Encrypt backups and recovery media."
"ENC-10","Crypto exception review","Review any waived encryption requirements."
