"ID","Control","Objective"
"CLD-01","Cloud account governance","Control cloud subscriptions, tenants, and projects."
"CLD-02","Cloud IAM hardening","Enforce least privilege in cloud environments."
"CLD-03","Cloud logging enablement","Enable cloud audit and activity logs."
"CLD-04","Cloud security posture review","Review misconfigurations and exposures."
"CLD-05","Cloud resource tagging","Standardize metadata for ownership and control."
"CLD-06","Cloud key management","Protect cloud secrets and encryption keys."
"CLD-07","Public exposure review","Detect and remediate public-facing resources."
"CLD-08","Cloud network restriction","Restrict inbound/outbound cloud traffic."
"CLD-09","Cloud backup and recovery","Protect cloud-hosted workloads and data."
"CLD-10","Cloud workload hardening","Secure cloud VMs, containers, and services."
