"ID","Control","Objective"
"PAM-01","Separate admin accounts","Use dedicated admin identities."
"PAM-02","Just-in-time privilege","Grant elevation only when needed."
"PAM-03","Privileged access review","Review privileged memberships regularly."
"PAM-04","Privileged session logging","Record administrative activity where feasible."
"PAM-05","Break-glass account control","Secure emergency accounts with strong safeguards."
"PAM-06","Privileged workstation use","Administer sensitive systems from hardened devices."
"PAM-07","Privileged command approval","Restrict high-risk administrative actions."
"PAM-08","Privileged credential vaulting","Store admin credentials in a protected vault."
"PAM-09","Admin group monitoring","Alert on changes to privileged groups."
"PAM-10","Temporary elevation expiration","Ensure elevation expires automatically."
