"ID","Control","Objective"
"M365-01","Tenant secure baseline","Apply Microsoft 365 security baseline settings."
"M365-02","Exchange Online protection","Protect email against phishing and malware."
"M365-03","SharePoint/OneDrive sharing control","Restrict external sharing appropriately."
"M365-04","Teams governance","Control Teams creation, guest access, and lifecycle."
"M365-05","Defender for Office 365","Use advanced email threat protection."
"M365-06","Microsoft 365 audit logging","Enable and retain audit logs."
"M365-07","MFA and conditional access","Require strong identity protections."
"M365-08","Admin role minimization","Restrict tenant admin roles."
"M365-09","Mailbox access review","Review delegated and privileged mailbox access."
"M365-10","DLP policy enforcement","Prevent inappropriate data sharing."
