"ID","Control","Objective"
"IAM-01","Unique user identities","Ensure every user has a unique account."
"IAM-02","Account provisioning workflow","Provision accounts through approved onboarding."
"IAM-03","Account deprovisioning workflow","Disable access promptly on termination or transfer."
"IAM-04","Access request approval","Require approval before granting access."
"IAM-05","Periodic access review","Recertify access to systems and data on a schedule."
"IAM-06","Role-based access control","Grant access based on business role and need."
"IAM-07","Separation of duties","Prevent conflicting access combinations."
"IAM-08","External user governance","Control guest, contractor, and vendor access."
"IAM-09","Account inactivity lockout","Disable unused accounts after a defined period."
"IAM-10","Shared account restriction","Prohibit shared accounts unless formally approved."
"IAM-11","Joiner-mover-leaver process","Manage identity changes through HR or IT workflow."
"IAM-12","Directory synchronization control","Govern identity sync between local and cloud directories."
"IAM-13","Access recertification for privileged users","Review elevated access more frequently."
"IAM-14","Service account ownership","Assign and review business owners for service accounts."
"IAM-15","Identity lifecycle logging","Log provisioning, changes, and removals for accountability."
